match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T203332,PK Vs RCB,PK,HarpreetBrar,4,0,33,1,8.25,12,3,2,2,0
T203332,PK Vs RCB,PK,ArshdeepSingh,4,0,27,1,6.75,9,3,0,1,0
T203332,PK Vs RCB,PK,KagisoRabada,4,0,21,3,5.25,15,2,0,2,0
T203332,PK Vs RCB,PK,RishiDhawan,4,0,36,2,9,4,2,1,0,0
T203332,PK Vs RCB,PK,RahulChahar,4,0,37,2,9.25,10,3,2,3,0
T203878,CSK Vs MI,MI,DanielSams,4,0,16,3,4,18,1,0,6,0
T203878,CSK Vs MI,MI,JaspritBumrah,3,1,12,1,4,13,2,0,0,0
T203878,CSK Vs MI,MI,RileyMeredith,3,0,27,2,9,11,3,1,1,0
T203878,CSK Vs MI,MI,HrithikShokeen,2,0,12,0,6,7,0,1,1,0
T203878,CSK Vs MI,MI,KumarKartikeya,3,0,22,2,7.33,9,2,1,0,0
T203878,CSK Vs MI,MI,RamandeepSingh,1,0,5,1,5,4,1,0,0,0
T203878,CSK Vs MI,CSK,MukeshChoudhary,4,0,23,3,5.75,17,4,0,3,0
T203878,CSK Vs MI,CSK,SimarjeetSingh,4,0,22,1,5.5,16,3,0,1,0
T203878,CSK Vs MI,CSK,DwayneBravo,2,0,16,0,8,3,1,0,1,0
T203878,CSK Vs MI,CSK,MaheeshTheekshana,3,0,24,0,8,5,3,0,0,0
T203878,CSK Vs MI,CSK,MoeenAli,1.5,0,17,1,9.27,4,0,2,0,0
T201826,RR Vs DC,DC,ChetanSakariya,4,0,23,2,5.75,9,1,0,3,0
T201826,RR Vs DC,DC,AnrichNortje,4,0,39,2,9.75,8,4,2,1,0
T201826,RR Vs DC,DC,ShardulThakur,4,0,27,0,6.75,12,4,0,1,0
T201826,RR Vs DC,DC,AxarPatel,2,0,25,0,12.5,5,1,3,0,0
T201826,RR Vs DC,DC,MitchellMarsh,3,0,25,2,8.33,5,4,0,0,0
T201826,RR Vs DC,DC,KuldeepYadav,3,0,20,0,6.66,3,0,1,0,0
T201826,RR Vs DC,RR,TrentBoult,4,0,32,1,8,11,4,1,2,0
T201826,RR Vs DC,RR,PrasidhKrishna,3,1,20,0,6.66,11,2,1,0,0
T201826,RR Vs DC,RR,RavichandranAshwin,4,0,32,0,8,7,1,2,2,0
T201826,RR Vs DC,RR,KuldeepSen,3.1,0,32,0,10.1,6,2,2,0,0
T201826,RR Vs DC,RR,YuzvendraChahal,4,0,43,1,10.75,6,1,4,1,0
